"","G"
"231",93.5560761080829
"232",52.5741401274778
"233",54.6766729388
"234",58.9239660432219
"235",59.3505503501538
"236",78.5136595290998
"237",70.0123540512069
"238",60.7916380684035
"239",49.2526636860791
"240",57.3318725140984
"241",57.6411006978345
"242",65.1343213040332
"243",54.5396836603672
"244",60.9149699209668
"245",138.375052679272
"246",51.7653831560992
"247",69.5350073355477
"248",59.9192128935652
"249",59.4205871230917
"250",67.6483729240256
"251",67.8357294671374
"252",50.4852477781862
"253",62.4644137492222
"254",84.4597454128008
"255",59.372203140851
"256",58.1892791155834
"257",67.3820279717789
"258",94.1182755650413
"259",54.2716207547389
"260",54.0779257209441
"261",67.1264573333586
"262",50.2318118370658
"263",59.469147370517
"264",84.5041063342441
"265",76.9699393305983
"266",72.6538113099554
"267",86.538217486744
"268",77.8150506323037
"269",92.531516219477
"270",61.3422372505893
"271",56.6815815595588
"272",48.5736866764048
"273",55.2673358020936
"274",56.1246934691163
"275",115.645214462509
"276",47.207561900997
"277",61.1913577840291
"278",53.183640870134
"279",103.702037520312
"280",60.6486876209529
"281",70.5290967129168
"282",87.6306135314904
"283",80.7797211106234
"284",73.5628551081908
"285",60.2254396047232
"286",60.7630508608757
"287",89.1810789199425
"288",58.4293738926477
"289",91.2050606663806
"290",60.0606936970279
"291",69.3498254597404
"292",53.992477410469
"293",55.3411004955498
"294",66.350290079876
"295",65.9820171446156
"296",60.404640516212
"297",96.3977877596966
"298",110.582263987059
"299",73.0976406519112
"300",53.0538242879397
"301",58.1706060262509
"302",85.270922547449
"303",72.8575829786343
"304",72.8297946136721
"305",66.3585054887667
"306",82.7902892405156
"307",55.9749785163267
"308",86.7306891935158
"309",94.1456364794742
"310",54.2882088690277
"311",114.543163887734
"312",100.42536895588
"313",47.1401967958728
"314",78.6612683896512
"315",37.5542645102515
"316",88.768456501465
"317",72.92689943033
"318",52.1280555483516
"319",112.871141829806
"320",111.785959550076
"321",72.0723509984121
"322",111.66818326432
"323",49.0769832479028
"324",117.289696003395
"325",40.4976002473217
"326",70.0167921587512
"327",50.6101059684003
"328",55.6150507389777
"329",51.6228621302141
"330",59.7511750430142
"331",52.2121677242503
"332",58.5277693253522
"333",74.9998792325164
"334",60.9334663914447
"335",72.0866945434604
"336",53.4451534152125
"337",78.7691437065358
"338",53.0216830129541
"339",51.5058482166253
"340",77.7525875590874
"341",62.8704141476204
"342",63.5262116486168
"343",57.6539680203346
"344",52.2081886954252
"345",73.294054819574
"346",74.7972601470875
"347",46.5775895186148
"348",45.7721490850712
"349",52.4538972604979
"350",72.6140421671847
"351",62.91010731093
"352",99.0457846814914
"353",53.0358033846894
"354",49.0540063247035
"355",56.9927961335629
"356",65.8443762294716
"357",56.4898513258599
"358",60.9869944906174
"359",54.1878453196388
"360",52.0382477588344
"361",63.4743883849329
"362",60.3108047480111
"363",116.414372521576
"364",66.2319964789126
"365",58.4586088834385
"366",62.0042797960371
"367",79.52646361657
"368",47.9115376411959
"369",104.207143162461
"370",60.4766812258956
"371",57.1328900406981
"372",48.9519190002271
"373",70.540885457478
"374",56.6457819834089
"375",96.9043394230426
"376",51.8767957533595
"377",57.969190366764
"378",66.5622687318414
"379",64.6842733845406
"380",66.1552497953531
"381",121.363847894932
"382",58.0918790472593
"383",58.7266419385292
"384",60.4843219071584
"385",59.8889562461557
"386",60.5229489575506
"387",58.8534136172733
"388",59.5530569169473
"389",83.5840352126139
"390",68.2337212165881
"391",56.1845074064769
"392",58.5252237239729
"393",64.8369312103918
"394",104.852306240332
"395",58.3186971086184
"396",77.4111537811665
"397",58.6543960788447
"398",99.5694359261817
"399",79.059802095372
"400",85.407017999724
"401",57.9147429742469
"402",53.9897982011171
"403",59.7127839261571
"404",52.5319659977568
"405",55.9952220476712
"406",63.1036772569995
"407",59.7674808945535
"408",95.1576424747766
"409",71.6621859311328
"410",63.496515066014
"411",60.2393420269261
"412",61.2411108613772
"413",56.0485704607853
"414",50.1986066602423
"415",54.8708241159034
"416",95.775552666144
"417",60.3985578796423
"418",119.884797296013
"419",42.302722157151
"420",58.8993235221629
"421",56.7068897522
"422",63.2382813042726
"423",59.7420526792455
"424",58.2953646488857
"425",91.8499291271089
"426",50.1981769278562
"427",81.6744249776731
"428",61.4755926158469
"429",88.7338738504151
"430",84.5230416644387
"431",60.2044480000987
"432",96.5682825587183
"433",101.511363848332
"434",54.6036755632415
"435",56.2727018175425
"436",52.2108419995549
"437",54.447483664415
"438",68.7484082501587
"439",58.3858262484053
"440",47.2324303373121
"441",59.5130181499223
"442",72.0691735235604
"443",62.1289319457497
"444",61.0871016951259
"445",54.9819505693291
"446",63.1620432029978
"447",41.0901915412562
"448",59.3931821931334
"449",97.9193787639718
"450",92.7099404049602
"451",78.253045024703
"452",54.8531258945524
"453",56.2749099606027
"454",58.2947251550216
"455",105.410503294873
"456",66.5689972681833
"457",63.8104494175953
"458",112.634994102446
"459",58.6824332006072
